,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed,Time
278,2001,1,12,14,30,306,390,13,32.35338099279528,952.290283203125,1.1764259338378906,14:30:00
279,2001,1,12,15,30,251,246,13,30.51228002529035,951.7998046875,1.2541929483413696,15:30:00
280,2001,1,12,16,30,152,67,14,28.569565112992052,952.1717529296876,1.3182413578033447,16:30:00
281,2001,1,12,17,30,42,11,16,27.141251233232538,952.7969970703124,1.614839792251587,17:30:00
282,2001,1,12,18,30,0,0,15,26.481173973981644,953.538818359375,1.9780850410461424,18:30:00
294,2001,1,13,6,30,0,0,10,18.52645225762092,954.9103393554688,1.8550541400909424,06:30:00
295,2001,1,13,7,30,38,27,10,19.88573565030447,955.9955444335938,1.62479567527771,07:30:00
296,2001,1,13,8,30,120,391,10,22.46199950292868,956.9208984375,1.348902940750122,08:30:00
297,2001,1,13,9,30,168,563,8,26.951946788882594,957.1019897460938,1.2317055463790894,09:30:00
298,2001,1,13,10,30,195,657,7,30.558534908442308,957.2218017578124,0.9117786288261414,10:30:00
299,2001,1,13,11,30,210,706,8,32.84548143429396,956.2838745117188,0.4991585910320282,11:30:00
300,2001,1,13,12,30,215,723,8,33.91566348770277,955.0396118164062,0.10106796771287918,12:30:00
301,2001,1,13,13,30,317,551,9,34.134034792910995,953.5418701171876,0.17940574884414673,13:30:00
302,2001,1,13,14,30,313,103,9,33.45833371071387,952.8053588867188,0.2826709747314453,14:30:00
303,2001,1,13,15,30,145,0,8,32.00237987730725,952.3335571289062,0.3503339886665344,15:30:00
304,2001,1,13,16,30,175,209,11,29.527854840178467,952.4510498046876,0.39385056495666493,16:30:00
305,2001,1,13,17,30,17,0,14,26.597750197016524,952.9308471679688,0.7416736483573914,17:30:00
306,2001,1,13,18,30,0,0,11,25.553548915952607,953.6381225585938,1.2426469326019287,18:30:00
318,2001,1,14,6,30,0,0,13,18.183561104386055,955.4279174804688,2.1814000606536865,06:30:00
319,2001,1,14,7,30,38,26,14,20.647693170757574,956.2111206054688,1.9863677024841309,07:30:00
320,2001,1,14,8,30,119,385,16,24.808938033527284,956.7911376953124,1.9757887125015257,08:30:00
321,2001,1,14,9,30,166,553,16,28.593639340861955,957.0635986328124,1.9042261838912964,09:30:00
322,2001,1,14,10,30,194,646,16,31.225615530166067,956.5479736328124,1.5612685680389404,10:30:00
323,2001,1,14,11,30,208,693,17,32.17303577408228,955.5819091796876,1.1774241924285889,11:30:00
